Quarter,AAPL,SBUX,MSFT,CSCO,QCOM
2009q3,168838.049093,15486.96,179148.48890400003,138400.904143,81056.851673
2009q4,194648.32683,18167.03,216533.72,143134.97412899998,79240.26169099999
2010q1,217655.84976,19604.52,233019.02898300003,156222.3,83010.661678
2010q2,254180.36062800002,21530.985,280971.88104899996,161808.33,71082.18164200001
2010q3,270312.46705399995,20077.92,276043.60000000003,144854.96,74825.541658
2010q4,303710.016912,25240.845,280218.521073,138980.75,82383.523296
2011q1,339889.67157600005,29312.841544,228939.35,123193.34441300001,100630.623378
2011q2,331072.95,30486.281544000005,242530.99143000002,100053.59,100130.31
2011q3,387284.516745,31672.62,245683.70851000003,92735.21,100377.76169099999
2011q4,397569.12,35696.825000000004,229519.02140700002,103381.84540700002,98785.403442
2012q1,583562.67802,43517.108452999986,238399.2,114231.15,119552.363028
2012q2,602509.803371,47917.588445999994,231179.141535,115612.645456,120124.143516
2012q3,663685.119851,41896.60000000001,279159.283004,106620.92,113304.283482
2012q4,636054.969175,41562.671523000005,275764.502988,108706.91466599998,112676.846498
2013q1,519382.359188,44677.203476999995,267136.308494,117479.01,119831.11176300001
2013q2,428720.67832,51130.198476,253573.328444,133705.34,118766.85176500001
2013q3,473068.613292,58964.12652500001,241153.69842899998,141924.39461999998,122937.852984
2013q4,513895.41698999994,62804.338467999994,302124.88305999996,130320.0,127858.5
2014q1,490237.924392,59653.933471000004,305901.18000000005,121721.95,136282.31828099999
2014q2,570401.0,59449.321522000006,326901.29160500003,129707.20517999999,139382.47999999998
2014q3,632505.9183690001,61383.346948,342963.346734,137200.38,139862.396572
2014q4,699958.0,63562.303034,354857.75,146739.754844,132367.863372
2015q1,776055.0,74272.31848300001,396839.52,155780.40516000002,124208.17333399999
2015q2,765788.415362,82803.91848400001,411614.178297,153204.48,115756.73674200001
2015q3,765081.550551,89282.126974,391998.83,149388.38514600002,106764.458361
2015q4,685656.58,95455.526994,405766.64,150117.685113,92339.78848300001
2016q1,607071.948918,91301.802974,384636.736168,145111.58490299998,79843.398502
2016q2,613523.289054,90470.427042,455284.041949,147999.29493499998,83186.28
2016q3,635635.0,86706.971487,441011.55,162154.565088,102613.0
2016q4,630036.0,87245.011471,452413.971987,160592.205066,104784.54402
2017q1,758359.41369,85995.501465,459170.792124,173577.59496,99584.315533
2017q2,816871.331398,94207.63,498144.59216999996,173497.544955,88386.47850900001
2017q3,861590.6157559999,86989.0,514564.187813,170454.229902,84646.90149
2017q4,909974.349684,85669.501435,567976.616504,193467.56998800003,101780.075908
2018q1,920956.965068,86797.828593,588356.5755980001,224288.19507600003,102592.977012
2018q2,955739.440292,83103.87277799999,669613.48458,224277.195156,90171.678513
2018q3,1141800.005,80142.751395,754225.3566180002,237460.659762,109856.664148
2018q4,1107670.1434109998,86106.161253,798807.044412,226731.95538600002,89707.04755399999
2019q1,917118.0711959999,92999.334996,890527.204468,243224.95901,70586.0
2019q2,974261.75,103575.872446,898058.487768,253465.15,109915.99123099999
2019q3,1041236.5346489998,122202.631233,930983.687744,258496.645547,97478.00244
2019q4,1298721.5509950002,105736.978809,1068208.332247,208650.598546,108980.76884100001
