,AAPL,CSCO,MSFT,QCOM,SBUX,Date
0,,,,,,2009q1
1,,,,,,2009q2
2,22252000000,,,7002000000,3181700000,2009q3
3,26019000000,29451000000,,7129000000,3181700000,2009q4
4,18158000000,34871000000,,7550000000,2737500000,2010q1
5,17709000000,35440000000,,7777000000,2590000000,2010q2
6,21614000000,36845000000,,9515000000,2672300000,2010q3
7,27392000000,36845000000,44598000000,9714000000,2703600000,2010q4
8,32076000000,36845000000,43825000000,9714000000,2870800000,2011q1
9,33427000000,38144000000,46275000000,9714000000,2703600000,2011q2
10,37415000000,39836000000,51621000000,9714000000,2756300000,2011q3
11,39756000000,39836000000,51621000000,9714000000,2973100000,2011q4
12,48627000000,39994000000,51621000000,9450000000,3060300000,2012q1
13,48436000000,39836000000,51621000000,9661000000,2973100000,2012q2
14,51150000000,40458000000,54908000000,9840000000,2973100000,2012q3
15,57854000000,40458000000,54908000000,9467000000,3104700000,2012q4
16,68742000000,40853000000,56107000000,9487000000,3315100000,2013q1
17,59253000000,40458000000,57417000000,9971000000,3175300000,2013q2
18,76502000000,42063000000,63487000000,9467000000,3314800000,2013q3
19,83451000000,42063000000,63487000000,9467000000,7034400000,2013q4
20,95500000000,42343000000,68443000000,9429000000,7034400000,2014q1
21,85810000000,46060000000,68695000000,9622000000,7034400000,2014q2
22,1.0158E+11,48473000000,82600000000,9568000000,7034400000,2014q3
23,1.20292E+11,48473000000,82600000000,9429000000,7034400000,2014q4
24,1.38566E+11,48473000000,82969000000,9628000000,6193300000,2015q1
25,1.32188E+11,48473000000,86551000000,9408000000,6180000000,2015q2
26,1.47474E+11,53774000000,96140000000,19099000000,7010500000,2015q3
27,1.71124E+11,53774000000,96140000000,19382000000,6626300000,2015q4
28,1.71124E+11,53774000000,1.03318E+11,19996000000,6960100000,2016q1
29,1.7482E+11,56296000000,1.07063E+11,20423000000,7423000000,2016q2
30,1.79061E+11,58067000000,1.21697E+11,20148000000,8109200000,2016q3
31,1.93437E+11,62874000000,1.42152E+11,20591000000,8438800000,2016q4
32,1.98751E+11,62430000000,1.55801E+11,21160000000,8421800000,2017q1
33,2.0045E+11,60568000000,1.55288E+11,24745000000,8616500000,2017q2
34,2.12748E+11,63681000000,1.68692E+11,33096000000,8673200000,2017q3
35,2.41272E+11,64972000000,1.62601E+11,34740000000,8908600000,2017q4
36,2.66595E+11,79528000000,1.77643E+11,40427000000,12759600000,2018q1
37,2.41272E+11,67347000000,1.66258E+11,40307000000,12835800000,2018q2
38,2.41272E+11,65580000000,1.7613E+11,39022000000,13185400000,2018q3
39,2.58578E+11,65580000000,1.7613E+11,34740000000,22980600000,2018q4
40,2.58578E+11,65580000000,1.7613E+11,34773000000,22980600000,2019q1
41,,65580000000,1.7613E+11,31911000000,22980600000,2019q2
42,,65580000000,1.84226E+11,31911000000,,2019q3
43,,,1.84226E+11,,,2019q4
